ID,Context,FixFreq,BlockFreq
47,( None|IfStatement|None|WhileStatement|None ),2,146
48,( VariableDeclarationStatement|None|IfStatement|None|IfStatement ),325,936
49,( None|None|VariableDeclarationStatement|None|IfStatement ),363,5357
50,( IfStatement|VariableDeclarationStatement|IfStatement|None|None ),151,264
51,( None|VariableDeclarationStatement|IfStatement|None|IfStatement ),81,919
52,( None|IfStatement|IfStatement|VariableDeclarationStatement|None ),113,851
53,( None|IfStatement|None|IfStatement|None ),311,2168
54,( VariableDeclarationStatement|None|VariableDeclarationStatement|None|WhileStatement ),106,218
55,( None|None|VariableDeclarationStatement|None|VariableDeclarationStatement ),381,8537
56,( None|VariableDeclarationStatement|VariableDeclarationStatement|None|WhileStatement ),53,216
57,( WhileStatement|VariableDeclarationStatement|ReturnStatement|VariableDeclarationStatement|None ),32,183
58,( None|VariableDeclarationStatement|WhileStatement|VariableDeclarationStatement|ReturnStatement ),8,181
59,( ReturnStatement|WhileStatement|None|VariableDeclarationStatement|None ),62,292
60,( None|WhileStatement|ReturnStatement|VariableDeclarationStatement|None ),42,292
61,( None|ReturnStatement|None|WhileStatement|None ),24,372
62,( None|None|ContinueStatement|None|None ),2,7
63,( None|ContinueStatement|None|None|None ),7,7
64,( SuperConstructorInvocation|None|None|None|None ),246,249
65,( None|None|SuperConstructorInvocation|None|None ),0,249
66,( None|SuperConstructorInvocation|None|None|None ),87,249
67,( Assignment|Assignment|None|IfStatement|None ),36,148
68,( IfStatement|Assignment|None|None|None ),329,406
69,( Assignment|IfStatement|Assignment|IfStatement|None ),4,32
70,( MethodInvocation|None|ReturnStatement|None|None ),1013,1854
71,( Assignment|None|IfStatement|None|None ),233,414
72,( None|None|Assignment|None|IfStatement ),32,824
73,( None|Assignment|IfStatement|None|None ),74,394
74,( None|IfStatement|None|Assignment|None ),112,973
75,( IfStatement|None|IfStatement|None|Assignment ),25,87
76,( None|None|IfStatement|None|IfStatement ),162,1710
77,( IfStatement|IfStatement|Assignment|None|Assignment ),2,31
78,( None|IfStatement|IfStatement|None|Assignment ),6,86
79,( None|IfStatement|Assignment|IfStatement|Assignment ),11,150
80,( None|Assignment|Assignment|IfStatement|None ),7,148
81,( IfStatement|None|Assignment|None|Assignment ),24,102
82,( None|None|IfStatement|None|Assignment ),44,523
83,( Assignment|IfStatement|Assignment|None|None ),14,31
84,( None|IfStatement|Assignment|None|Assignment ),5,102
85,( None|None|MethodInvocation|None|ReturnStatement ),30,1853
86,( ReturnStatement|MethodInvocation|None|None|None ),1358,1855
87,( None|MethodInvocation|ReturnStatement|None|None ),1085,1854
88,( None|ReturnStatement|None|MethodInvocation|None ),575,4944
89,( VariableDeclarationStatement|None|MethodInvocation|None|MethodInvocation ),560,1257
90,( None|None|VariableDeclarationStatement|None|MethodInvocation ),214,3311
91,( MethodInvocation|VariableDeclarationStatement|MethodInvocation|None|None ),129,229
92,( None|VariableDeclarationStatement|MethodInvocation|None|MethodInvocation ),146,1255
93,( MethodInvocation|MethodInvocation|None|VariableDeclarationStatement|None ),273,685
94,( None|MethodInvocation|MethodInvocation|VariableDeclarationStatement|None ),33,685
95,( None|MethodInvocation|None|MethodInvocation|None ),586,4551
96,( Assignment|Assignment|Assignment|None|None ),109,190
97,( Assignment|Assignment|None|Assignment|None ),354,801
98,( None|Assignment|Assignment|Assignment|None ),50,801
99,( None|None|IfStatement|None|ReturnStatement ),62,642
100,( IfStatement|None|ReturnStatement|None|None ),515,650
101,( ReturnStatement|IfStatement|None|None|None ),369,651
102,( None|IfStatement|ReturnStatement|None|None ),206,650
103,( None|ReturnStatement|None|IfStatement|None ),188,4200
104,( None|SuperConstructorInvocation|Assignment|None|Assignment ),31,290
105,( SuperConstructorInvocation|None|Assignment|None|Assignment ),92,290
106,( None|None|SuperConstructorInvocation|None|Assignment ),0,501
107,( Assignment|SuperConstructorInvocation|Assignment|None|None ),35,86
108,( Assignment|Assignment|None|SuperConstructorInvocation|None ),52,86
109,( None|Assignment|Assignment|SuperConstructorInvocation|None ),5,86
110,( IfStatement|VariableDeclarationStatement|ReturnStatement|None|None ),303,569
111,( VariableDeclarationStatement|None|IfStatement|None|ReturnStatement ),390,570
112,( None|VariableDeclarationStatement|IfStatement|None|ReturnStatement ),86,569
113,( ReturnStatement|IfStatement|None|VariableDeclarationStatement|None ),472,1726
114,( None|IfStatement|ReturnStatement|VariableDeclarationStatement|None ),316,1726
115,( None|None|Assignment|None|None ),206,2571
116,( Assignment|None|None|None|None ),3164,2734
117,( None|Assignment|None|None|None ),615,2567
118,( EnhancedForStatement|VariableDeclarationStatement|IfStatement|None|IfStatement ),2,6
119,( IfStatement|IfStatement|ReturnStatement|EnhancedForStatement|None ),4,15
120,( MethodInvocation|None|None|None|None ),7509,6140
121,( ForStatement|None|None|None|None ),431,247
122,( None|MethodInvocation|None|None|None ),1293,5671
123,( None|ForStatement|None|None|None ),57,245
124,( VariableDeclarationStatement|None|EnhancedForStatement|None|IfStatement ),62,79
125,( IfStatement|EnhancedForStatement|IfStatement|VariableDeclarationStatement|ReturnStatement ),5,8
126,( ReturnStatement|IfStatement|None|IfStatement|None ),276,1170
127,( None|None|ForStatement|None|None ),60,245
128,( None|None|MethodInvocation|None|None ),397,5676
129,( None|None|VariableDeclarationStatement|None|EnhancedForStatement ),40,446
130,( None|VariableDeclarationStatement|EnhancedForStatement|None|IfStatement ),28,79
131,( None|EnhancedForStatement|IfStatement|VariableDeclarationStatement|IfStatement ),1,92
132,( None|IfStatement|IfStatement|EnhancedForStatement|ReturnStatement ),2,15
133,( None|IfStatement|ReturnStatement|IfStatement|None ),279,1170
134,( IfStatement|None|None|None|None ),4025,3582
135,( None|None|IfStatement|None|None ),308,2300
136,( None|IfStatement|None|None|None ),530,2282
137,( IfStatement|None|Assignment|None|IfStatement ),24,84
138,( IfStatement|IfStatement|VariableDeclarationStatement|VariableDeclarationStatement|IfStatement ),63,473
139,( Assignment|IfStatement|IfStatement|None|None ),21,35
140,( None|IfStatement|Assignment|None|IfStatement ),4,84
141,( IfStatement|Assignment|None|IfStatement|None ),40,167
142,( None|Assignment|IfStatement|IfStatement|None ),4,167
143,( VariableDeclarationStatement|VariableDeclarationStatement|WhileStatement|None|VariableDeclarationStatement ),1,17
144,( WhileStatement|VariableDeclarationStatement|VariableDeclarationStatement|VariableDeclarationStatement|IfStatement ),2,17
145,( None|VariableDeclarationStatement|WhileStatement|VariableDeclarationStatement|VariableDeclarationStatement ),4,84
146,( VariableDeclarationStatement|WhileStatement|IfStatement|VariableDeclarationStatement|VariableDeclarationStatement ),0,3
147,( None|WhileStatement|VariableDeclarationStatement|VariableDeclarationStatement|IfStatement ),5,28
148,( IfStatement|VariableDeclarationStatement|VariableDeclarationStatement|WhileStatement|IfStatement ),0,1
149,( None|VariableDeclarationStatement|IfStatement|WhileStatement|VariableDeclarationStatement ),0,3
150,( VariableDeclarationStatement|IfStatement|IfStatement|VariableDeclarationStatement|IfStatement ),90,446
151,( None|IfStatement|VariableDeclarationStatement|VariableDeclarationStatement|IfStatement ),221,2008
152,( IfStatement|VariableDeclarationStatement|IfStatement|IfStatement|VariableDeclarationStatement ),19,244
153,( None|VariableDeclarationStatement|IfStatement|IfStatement|IfStatement ),45,982
154,( None|IfStatement|IfStatement|VariableDeclarationStatement|VariableDeclarationStatement ),54,997
155,( VariableDeclarationStatement|IfStatement|IfStatement|IfStatement|ReturnStatement ),29,85
156,( None|IfStatement|VariableDeclarationStatement|IfStatement|IfStatement ),57,1023
157,( IfStatement|VariableDeclarationStatement|ReturnStatement|IfStatement|None ),148,375
158,( None|VariableDeclarationStatement|IfStatement|IfStatement|ReturnStatement ),33,375
159,( VariableDeclarationStatement|IfStatement|VariableDeclarationStatement|None|EnhancedForStatement ),18,22
160,( EnhancedForStatement|VariableDeclarationStatement|ReturnStatement|VariableDeclarationStatement|None ),85,149
161,( IfStatement|None|VariableDeclarationStatement|None|VariableDeclarationStatement ),226,756
162,( None|IfStatement|VariableDeclarationStatement|None|VariableDeclarationStatement ),79,756
163,( VariableDeclarationStatement|VariableDeclarationStatement|EnhancedForStatement|IfStatement|ReturnStatement ),6,26
164,( None|VariableDeclarationStatement|VariableDeclarationStatement|IfStatement|EnhancedForStatement ),13,138
165,( None|VariableDeclarationStatement|EnhancedForStatement|VariableDeclarationStatement|ReturnStatement ),12,149
166,( ReturnStatement|EnhancedForStatement|None|VariableDeclarationStatement|None ),112,372
167,( None|EnhancedForStatement|ReturnStatement|VariableDeclarationStatement|None ),59,372
168,( None|ReturnStatement|None|EnhancedForStatement|None ),36,693
169,( IfStatement|VariableDeclarationStatement|IfStatement|None|ReturnStatement ),49,101
170,( IfStatement|IfStatement|ReturnStatement|VariableDeclarationStatement|None ),96,331
171,( None|IfStatement|IfStatement|VariableDeclarationStatement|ReturnStatement ),23,331
172,( VariableDeclarationStatement|IfStatement|ReturnStatement|IfStatement|None ),18,35
173,( IfStatement|None|IfStatement|None|VariableDeclarationStatement ),86,343
174,( IfStatement|IfStatement|VariableDeclarationStatement|None|ReturnStatement ),2,11
175,( None|IfStatement|IfStatement|None|VariableDeclarationStatement ),37,343
176,( None|IfStatement|VariableDeclarationStatement|IfStatement|ReturnStatement ),3,35
177,( ReturnStatement|VariableDeclarationStatement|None|IfStatement|None ),104,238
178,( None|VariableDeclarationStatement|ReturnStatement|IfStatement|None ),27,238
179,( None|ReturnStatement|None|VariableDeclarationStatement|None ),132,1250
180,( MethodInvocation|VariableDeclarationStatement|ReturnStatement|IfStatement|None ),35,160
181,( IfStatement|None|VariableDeclarationStatement|None|MethodInvocation ),126,284
182,( VariableDeclarationStatement|IfStatement|MethodInvocation|None|ReturnStatement ),22,31
183,( None|IfStatement|VariableDeclarationStatement|None|MethodInvocation ),27,284
184,( None|VariableDeclarationStatement|MethodInvocation|IfStatement|ReturnStatement ),21,160
185,( ReturnStatement|MethodInvocation|None|VariableDeclarationStatement|None ),221,877
186,( None|MethodInvocation|ReturnStatement|VariableDeclarationStatement|None ),122,877
187,( ReturnStatement|VariableDeclarationStatement|None|None|None ),331,506
188,( VariableDeclarationStatement|None|ReturnStatement|None|None ),430,507
189,( None|None|VariableDeclarationStatement|None|ReturnStatement ),38,507
190,( None|VariableDeclarationStatement|ReturnStatement|None|None ),161,504
191,( VariableDeclarationStatement|None|IfStatement|None|VariableDeclarationStatement ),352,1245
192,( IfStatement|VariableDeclarationStatement|VariableDeclarationStatement|None|IfStatement ),123,358
193,( None|VariableDeclarationStatement|IfStatement|None|VariableDeclarationStatement ),72,1245
194,( IfStatement|VariableDeclarationStatement|IfStatement|IfStatement|ReturnStatement ),23,73
195,( ConstructorInvocation|None|None|None|None ),140,123
196,( None|None|ConstructorInvocation|None|None ),0,123
197,( None|ConstructorInvocation|None|None|None ),80,123
198,( None|None|EnhancedForStatement|None|None ),40,237
199,( EnhancedForStatement|None|None|None|None ),291,238
200,( None|EnhancedForStatement|None|None|None ),58,237
201,( VariableDeclarationStatement|None|IfStatement|None|None ),1190,1655
202,( IfStatement|VariableDeclarationStatement|None|None|None ),1225,1654
203,( None|VariableDeclarationStatement|IfStatement|None|None ),327,1654
204,( None|IfStatement|None|VariableDeclarationStatement|None ),410,3775
205,( Assignment|MethodInvocation|None|None|None ),119,320
206,( MethodInvocation|MethodInvocation|None|None|None ),587,1011
207,( MethodInvocation|None|MethodInvocation|None|None ),737,1006
208,( None|None|MethodInvocation|None|MethodInvocation ),327,2891
209,( None|MethodInvocation|MethodInvocation|None|None ),102,993
210,( MethodInvocation|None|Assignment|None|None ),258,320
211,( None|None|MethodInvocation|None|Assignment ),53,656
212,( None|MethodInvocation|Assignment|None|None ),30,319
213,( None|Assignment|None|MethodInvocation|None ),112,853
214,( VariableDeclarationStatement|None|ForStatement|None|ReturnStatement ),118,126
215,( Assignment|IfStatement|ForStatement|VariableDeclarationStatement|IfStatement ),4,6
216,( None|None|VariableDeclarationStatement|None|ForStatement ),38,489
217,( ForStatement|VariableDeclarationStatement|ReturnStatement|None|None ),127,126
218,( None|VariableDeclarationStatement|ForStatement|None|ReturnStatement ),37,126
219,( ReturnStatement|ForStatement|None|VariableDeclarationStatement|None ),204,549
220,( None|ForStatement|ReturnStatement|VariableDeclarationStatement|None ),112,549
221,( None|ReturnStatement|None|ForStatement|None ),72,797
222,( VariableDeclarationStatement|None|IfStatement|None|Assignment ),78,260
223,( IfStatement|VariableDeclarationStatement|Assignment|None|ForStatement ),1,4
224,( None|VariableDeclarationStatement|IfStatement|None|Assignment ),13,260
225,( None|IfStatement|Assignment|VariableDeclarationStatement|ForStatement ),3,20
226,( ForStatement|Assignment|IfStatement|IfStatement|MethodInvocation ),0,2
227,( None|Assignment|ForStatement|IfStatement|IfStatement ),0,11
228,( IfStatement|ForStatement|MethodInvocation|Assignment|IfStatement ),0,2
229,( None|ForStatement|IfStatement|Assignment|MethodInvocation ),0,2
230,( MethodInvocation|IfStatement|IfStatement|ForStatement|ReturnStatement ),0,2
231,( None|IfStatement|MethodInvocation|ForStatement|IfStatement ),0,4
232,( IfStatement|MethodInvocation|ReturnStatement|IfStatement|None ),11,41
233,( None|MethodInvocation|IfStatement|IfStatement|ReturnStatement ),6,41
234,( ReturnStatement|IfStatement|None|MethodInvocation|None ),68,300
235,( None|IfStatement|ReturnStatement|MethodInvocation|None ),62,300
236,( MethodInvocation|IfStatement|MethodInvocation|None|Assignment ),4,6
237,( IfStatement|None|MethodInvocation|None|MethodInvocation ),56,210
238,( None|None|IfStatement|None|MethodInvocation ),58,1050
239,( None|IfStatement|MethodInvocation|None|MethodInvocation ),45,210
240,( MethodInvocation|MethodInvocation|Assignment|IfStatement|None ),6,14
241,( None|MethodInvocation|MethodInvocation|IfStatement|Assignment ),0,45
242,( Assignment|MethodInvocation|None|MethodInvocation|None ),60,213
243,( None|MethodInvocation|Assignment|MethodInvocation|None ),43,213
244,( SuperConstructorInvocation|None|MethodInvocation|None|None ),19,35
245,( MethodInvocation|SuperConstructorInvocation|None|None|None ),23,35
246,( SuperConstructorInvocation|None|MethodInvocation|None|MethodInvocation ),11,34
247,( MethodInvocation|SuperConstructorInvocation|MethodInvocation|None|Assignment ),4,6
248,( MethodInvocation|MethodInvocation|Assignment|SuperConstructorInvocation|Assignment ),1,2
249,( MethodInvocation|SuperConstructorInvocation|MethodInvocation|None|MethodInvocation ),1,10
250,( Assignment|IfStatement|Assignment|MethodInvocation|Assignment ),3,16
251,( None|MethodInvocation|None|SuperConstructorInvocation|None ),15,35
252,( None|SuperConstructorInvocation|MethodInvocation|None|MethodInvocation ),4,34
253,( MethodInvocation|MethodInvocation|MethodInvocation|SuperConstructorInvocation|IfStatement ),1,1
254,( MethodInvocation|MethodInvocation|IfStatement|MethodInvocation|Assignment ),2,52
255,( IfStatement|None|IfStatement|None|None ),159,279
256,( Assignment|MethodInvocation|Assignment|MethodInvocation|None ),18,63
257,( IfStatement|IfStatement|None|None|None ),261,281
258,( None|IfStatement|IfStatement|None|None ),41,279
259,( None|None|SuperConstructorInvocation|None|MethodInvocation ),0,93
260,( None|SuperConstructorInvocation|MethodInvocation|None|None ),7,35
261,( None|MethodInvocation|MethodInvocation|SuperConstructorInvocation|MethodInvocation ),1,10
262,( None|MethodInvocation|MethodInvocation|MethodInvocation|IfStatement ),47,643
263,( IfStatement|MethodInvocation|Assignment|MethodInvocation|Assignment ),6,28
264,( None|MethodInvocation|IfStatement|MethodInvocation|Assignment ),4,88
265,( None|IfStatement|Assignment|MethodInvocation|Assignment ),28,87
266,( Assignment|Assignment|Assignment|IfStatement|None ),14,78
267,( None|Assignment|Assignment|IfStatement|Assignment ),7,315
268,( None|MethodInvocation|MethodInvocation|SuperConstructorInvocation|Assignment ),0,6
269,( None|MethodInvocation|Assignment|MethodInvocation|Assignment ),16,198
270,( Assignment|SuperConstructorInvocation|None|None|None ),92,133
271,( SuperConstructorInvocation|None|Assignment|None|None ),66,133
272,( None|SuperConstructorInvocation|Assignment|None|None ),16,133
273,( None|Assignment|None|SuperConstructorInvocation|None ),30,133
274,( ReturnStatement|VariableDeclarationStatement|None|VariableDeclarationStatement|None ),242,391
275,( IfStatement|None|Assignment|None|PostfixExpression ),5,5
276,( Assignment|IfStatement|PostfixExpression|None|ReturnStatement ),1,1
277,( IfStatement|None|MethodInvocation|None|PostfixExpression ),2,7
278,( Assignment|PostfixExpression|None|MethodInvocation|None ),1,2
279,( IfStatement|None|VariableDeclarationStatement|None|SwitchStatement ),3,4
280,( Assignment|None|BreakStatement|None|None ),86,105
281,( IfStatement|IfStatement|VariableDeclarationStatement|None|VariableDeclarationStatement ),23,126
282,( VariableDeclarationStatement|IfStatement|VariableDeclarationStatement|IfStatement|VariableDeclarationStatement ),56,214
283,( None|IfStatement|VariableDeclarationStatement|IfStatement|VariableDeclarationStatement ),61,609
284,( VariableDeclarationStatement|VariableDeclarationStatement|VariableDeclarationStatement|IfStatement|ReturnStatement ),9,13
285,( None|VariableDeclarationStatement|VariableDeclarationStatement|IfStatement|VariableDeclarationStatement ),80,1596
286,( VariableDeclarationStatement|VariableDeclarationStatement|ReturnStatement|VariableDeclarationStatement|None ),97,155
287,( None|VariableDeclarationStatement|VariableDeclarationStatement|VariableDeclarationStatement|ReturnStatement ),32,155
288,( None|VariableDeclarationStatement|ReturnStatement|VariableDeclarationStatement|None ),64,391
289,( MethodInvocation|IfStatement|PostfixExpression|None|Assignment ),0,1
290,( None|IfStatement|MethodInvocation|None|PostfixExpression ),0,7
291,( PostfixExpression|MethodInvocation|Assignment|IfStatement|None ),0,1
292,( None|MethodInvocation|PostfixExpression|IfStatement|Assignment ),0,3
293,( None|PostfixExpression|Assignment|MethodInvocation|None ),0,2
294,( None|Assignment|None|PostfixExpression|None ),4,29
295,( None|IfStatement|Assignment|None|PostfixExpression ),1,5
296,( PostfixExpression|Assignment|ReturnStatement|IfStatement|None ),0,1
297,( None|Assignment|PostfixExpression|IfStatement|ReturnStatement ),0,1
298,( ReturnStatement|PostfixExpression|None|Assignment|None ),0,3
299,( None|PostfixExpression|ReturnStatement|Assignment|None ),0,3
300,( None|ReturnStatement|None|PostfixExpression|None ),6,32
301,( VariableDeclarationStatement|IfStatement|VariableDeclarationStatement|None|ReturnStatement ),11,16
302,( VariableDeclarationStatement|VariableDeclarationStatement|ReturnStatement|IfStatement|None ),19,49
303,( None|VariableDeclarationStatement|VariableDeclarationStatement|IfStatement|ReturnStatement ),0,49
304,( VariableDeclarationStatement|IfStatement|SwitchStatement|None|ReturnStatement ),0,1
305,( None|IfStatement|VariableDeclarationStatement|None|SwitchStatement ),1,4
306,( SwitchStatement|VariableDeclarationStatement|ReturnStatement|IfStatement|None ),0,2
307,( None|VariableDeclarationStatement|SwitchStatement|IfStatement|ReturnStatement ),0,2
308,( ReturnStatement|SwitchStatement|None|VariableDeclarationStatement|None ),4,12
309,( None|SwitchStatement|ReturnStatement|VariableDeclarationStatement|None ),2,12
310,( None|ReturnStatement|None|SwitchStatement|None ),0,15
311,( VariableDeclarationStatement|None|VariableDeclarationStatement|None|ReturnStatement ),83,157
312,( VariableDeclarationStatement|VariableDeclarationStatement|ReturnStatement|None|None ),132,157
313,( None|VariableDeclarationStatement|VariableDeclarationStatement|None|ReturnStatement ),24,157
314,( MethodInvocation|SuperMethodInvocation|None|None|None ),21,27
315,( SuperMethodInvocation|None|MethodInvocation|None|None ),13,27
316,( None|None|SuperMethodInvocation|None|MethodInvocation ),1,112
317,( None|SuperMethodInvocation|MethodInvocation|None|None ),8,27
318,( None|MethodInvocation|None|SuperMethodInvocation|None ),28,61
319,( IfStatement|None|IfStatement|None|ReturnStatement ),68,139
320,( IfStatement|IfStatement|ReturnStatement|None|None ),67,139
321,( None|IfStatement|IfStatement|None|ReturnStatement ),14,139
322,( IfStatement|IfStatement|Assignment|MethodInvocation|Assignment ),2,10
323,( MethodInvocation|None|PostfixExpression|None|None ),7,8
324,( MethodInvocation|None|IfStatement|None|IfStatement ),70,107
325,( None|None|MethodInvocation|None|IfStatement ),34,685
326,( IfStatement|MethodInvocation|IfStatement|None|Assignment ),1,4
327,( None|MethodInvocation|IfStatement|None|IfStatement ),25,107
328,( None|IfStatement|IfStatement|MethodInvocation|Assignment ),0,42
329,( Assignment|IfStatement|Assignment|IfStatement|PostfixExpression ),0,3
330,( Assignment|Assignment|PostfixExpression|IfStatement|None ),1,2
331,( None|Assignment|Assignment|IfStatement|PostfixExpression ),1,8
332,( PostfixExpression|Assignment|None|Assignment|None ),2,9
333,( None|Assignment|PostfixExpression|Assignment|None ),1,9
334,( None|PostfixExpression|None|Assignment|None ),3,24
335,( None|None|MethodInvocation|None|PostfixExpression ),0,9
336,( PostfixExpression|MethodInvocation|None|None|None ),3,7
337,( None|MethodInvocation|PostfixExpression|None|None ),1,7
338,( None|PostfixExpression|None|MethodInvocation|None ),14,104
339,( None|None|None|None|None ),490,407
340,( MethodInvocation|MethodInvocation|ReturnStatement|IfStatement|None ),94,120
341,( None|SuperMethodInvocation|None|None|None ),50,83
342,( VariableDeclarationStatement|None|VariableDeclarationStatement|None|IfStatement ),1041,2367
343,( VariableDeclarationStatement|VariableDeclarationStatement|IfStatement|None|MethodInvocation ),99,237
344,( None|VariableDeclarationStatement|VariableDeclarationStatement|None|IfStatement ),247,2366
345,( IfStatement|VariableDeclarationStatement|MethodInvocation|VariableDeclarationStatement|MethodInvocation ),24,205
346,( None|VariableDeclarationStatement|IfStatement|VariableDeclarationStatement|MethodInvocation ),84,911
347,( MethodInvocation|IfStatement|MethodInvocation|VariableDeclarationStatement|ReturnStatement ),10,41
348,( None|IfStatement|MethodInvocation|VariableDeclarationStatement|MethodInvocation ),80,764
349,( None|MethodInvocation|MethodInvocation|IfStatement|ReturnStatement ),10,120
350,( ReturnStatement|MethodInvocation|None|MethodInvocation|None ),236,1315
351,( None|MethodInvocation|ReturnStatement|MethodInvocation|None ),220,1315
352,( MethodInvocation|VariableDeclarationStatement|ReturnStatement|None|None ),146,269
353,( VariableDeclarationStatement|None|MethodInvocation|None|ReturnStatement ),201,270
354,( None|VariableDeclarationStatement|MethodInvocation|None|ReturnStatement ),40,268
355,( VariableDeclarationStatement|None|Assignment|None|None ),165,216
356,( VariableDeclarationStatement|VariableDeclarationStatement|WhileStatement|IfStatement|ReturnStatement ),11,32
357,( None|None|VariableDeclarationStatement|None|Assignment ),49,1219
358,( Assignment|VariableDeclarationStatement|None|None|None ),152,216
359,( None|VariableDeclarationStatement|Assignment|None|None ),11,216
360,( None|Assignment|None|VariableDeclarationStatement|None ),55,410
361,( VariableDeclarationStatement|IfStatement|VariableDeclarationStatement|None|WhileStatement ),46,59
362,( None|VariableDeclarationStatement|VariableDeclarationStatement|IfStatement|WhileStatement ),3,149
363,( MethodInvocation|VariableDeclarationStatement|EnhancedForStatement|None|ReturnStatement ),3,3
364,( VariableDeclarationStatement|None|MethodInvocation|None|EnhancedForStatement ),4,32
365,( None|VariableDeclarationStatement|MethodInvocation|None|EnhancedForStatement ),19,32
366,( None|EnhancedForStatement|ReturnStatement|MethodInvocation|None ),7,59
367,( EnhancedForStatement|MethodInvocation|ReturnStatement|VariableDeclarationStatement|None ),12,22
368,( None|MethodInvocation|EnhancedForStatement|VariableDeclarationStatement|ReturnStatement ),2,22
369,( ReturnStatement|EnhancedForStatement|None|MethodInvocation|None ),5,59
370,( None|VariableDeclarationStatement|EnhancedForStatement|None|ReturnStatement ),46,121
371,( VariableDeclarationStatement|None|EnhancedForStatement|None|ReturnStatement ),76,121
372,( EnhancedForStatement|VariableDeclarationStatement|ReturnStatement|None|None ),62,121
373,( IfStatement|SuperConstructorInvocation|IfStatement|None|Assignment ),1,24
374,( SuperConstructorInvocation|None|IfStatement|None|IfStatement ),26,34
375,( None|None|SuperConstructorInvocation|None|IfStatement ),0,109
376,( None|SuperConstructorInvocation|IfStatement|None|IfStatement ),5,34
377,( IfStatement|IfStatement|Assignment|SuperConstructorInvocation|Assignment ),0,24
378,( None|IfStatement|IfStatement|SuperConstructorInvocation|Assignment ),0,24
379,( Assignment|IfStatement|Assignment|IfStatement|Assignment ),6,76
380,( Assignment|Assignment|Assignment|IfStatement|Assignment ),21,157
381,( Assignment|Assignment|Assignment|Assignment|MethodInvocation ),77,200
382,( Assignment|Assignment|MethodInvocation|Assignment|None ),108,127
383,( None|Assignment|Assignment|Assignment|MethodInvocation ),23,344
384,( MethodInvocation|Assignment|None|Assignment|None ),93,233
385,( None|Assignment|MethodInvocation|Assignment|None ),40,233
